,Strain,Site,Project,Species,Host.family..plant..or.order.or.class..lichen.,Plant.or.Lichen.host,Site.Host,RICHNESS,ln_richness,Location,Habitat,Latitude,Longitude,Mean_annual_temperature,Mean_precipitation_driest_quarter,Mean_precipitation_wettest_quarter,Mean_annual_precipitation
57,CM0062,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
58,CM0063,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
59,CM0064,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
60,CM0065,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
61,CM0066,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
62,CM0067,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
63,CM0068,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
64,CM0069,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
65,CM0070,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
66,CM0071,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
67,CM0072,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
68,CM0073,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
69,CM0074,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
70,CM0075,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
71,CM0076,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
72,CM0077,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
73,CM0078,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
74,CM0079,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
75,CM0080,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
76,CM0081,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
77,CM0082,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
78,CM0083,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
79,CM0084,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
80,CM0085,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
81,CM0086,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
82,CM0087,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
83,CM0088,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
84,CM0089,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
85,CM0090,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
86,CM0091,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
87,CM0092,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
88,CM0093,Chiricahua Mountains,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Chiricahua Mountains_Plant-conifer,7,1.945910149,Arizona,Pine/oak/juniper forest,31.93,-109.3,11.7,10,118,46
89,DF0001,Sierra Prieta,Arizona,Juniperus deppeana,Cupressaceae,Plant-conifer,Sierra Prieta_Plant-conifer,4,1.386294361,Arizona,Pine/oak/juniper forest,34.59,-112.6,12.3,9,78,39
90,DF0002,Sierra Prieta,Arizona,Quercus turbinella,Fagaceae,Plant-angiosperm,Sierra Prieta_Plant-angiosperm,4,1.386294361,Arizona,Pine/oak/juniper forest,34.59,-112.6,12.3,9,78,39
91,DF0003,Sierra Prieta,Arizona,Quercus turbinella,Fagaceae,Plant-angiosperm,Sierra Prieta_Plant-angiosperm,4,1.386294361,Arizona,Pine/oak/juniper forest,34.59,-112.6,12.3,9,78,39
92,DF0004,Sierra Prieta,Arizona,Quercus turbinella,Fagaceae,Plant-angiosperm,Sierra Prieta_Plant-angiosperm,4,1.386294361,Arizona,Pine/oak/juniper forest,34.59,-112.6,12.3,9,78,39
93,DF0005,Sierra Prieta,Arizona,Quercus turbinella,Fagaceae,Plant-angiosperm,Sierra Prieta_Plant-angiosperm,4,1.386294361,Arizona,Pine/oak/juniper forest,34.59,-112.6,12.3,9,78,39
94,DF0006,Sierra Prieta,Arizona,Quercus turbinella,Fagaceae,Plant-angiosperm,Sierra Prieta_Plant-angiosperm,4,1.386294361,Arizona,Pine/oak/juniper forest,34.59,-112.6,12.3,9,78,39
95,DF0007,Sierra Prieta,Arizona,Quercus turbinella,Fagaceae,Plant-angiosperm,Sierra Prieta_Plant-angiosperm,4,1.386294361,Arizona,Pine/oak/juniper forest,34.59,-112.6,12.3,9,78,39
96,DF0008,Sierra Prieta,Arizona,Quercus turbinella,Fagaceae,Plant-angiosperm,Sierra Prieta_Plant-angiosperm,4,1.386294361,Arizona,Pine/oak/juniper forest,34.59,-112.6,12.3,9,78,39
97,DF0009,Sierra Prieta,Arizona,Quercus turbinella,Fagaceae,Plant-angiosperm,Sierra Prieta_Plant-angiosperm,4,1.386294361,Arizona,Pine/oak/juniper forest,34.59,-112.6,12.3,9,78,39
98,DF0010,Sierra Prieta,Arizona,Quercus turbinella,Fagaceae,Plant-angiosperm,Sierra Prieta_Plant-angiosperm,4,1.386294361,Arizona,Pine/oak/juniper forest,34.59,-112.6,12.3,9,78,39
99,DF0011,Sierra Prieta,Arizona,Quercus turbinella,Fagaceae,Plant-angiosperm,Sierra Prieta_Plant-angiosperm,4,1.386294361,Arizona,Pine/oak/juniper forest,34.59,-112.6,12.3,9,78,39
100,DF0012,Sierra Prieta,Arizona,Quercus turbinella,Fagaceae,Plant-angiosperm,Sierra Prieta_Plant-angiosperm,4,1.386294361,Arizona,Pine/oak/juniper forest,34.59,-112.6,12.3,9,78,39
101,DF0013,Sierra Prieta,Arizona,Quercus turbinella,Fagaceae,Plant-angiosperm,Sierra Prieta_Plant-angiosperm,4,1.386294361,Arizona,Pine/oak/juniper forest,34.59,-112.6,12.3,9,78,39
102,DF0014,Sierra Prieta,Arizona,Quercus turbinella,Fagaceae,Plant-angiosperm,Sierra Prieta_Plant-angiosperm,4,1.386294361,Arizona,Pine/oak/juniper forest,34.59,-112.6,12.3,9,78,39
103,DF0015,Sierra Prieta,Arizona,Quercus turbinella,Fagaceae,Plant-angiosperm,Sierra Prieta_Plant-angiosperm,4,1.386294361,Arizona,Pine/oak/juniper forest,34.59,-112.6,12.3,9,78,39
104,DF0016,Sierra Prieta,Arizona,Quercus turbinella,Fagaceae,Plant-angiosperm,Sierra Prieta_Plant-angiosperm,4,1.386294361,Arizona,Pine/oak/juniper forest,34.59,-112.6,12.3,9,78,39
105,DF0017,Sierra Prieta,Arizona,Quercus turbinella,Fagaceae,Plant-angiosperm,Sierra Prieta_Plant-angiosperm,4,1.386294361,Arizona,Pine/oak/juniper forest,34.59,-112.6,12.3,9,78,39
106,DF0018,Sierra Prieta,Arizona,Quercus turbinella,Fagaceae,Plant-angiosperm,Sierra Prieta_Plant-angiosperm,4,1.386294361,Arizona,Pine/oak/juniper forest,34.59,-112.6,12.3,9,78,39
107,DF0019,Sierra Prieta,Arizona,Quercus turbinella,Fagaceae,Plant-angiosperm,Sierra Prieta_Plant-angiosperm,4,1.386294361,Arizona,Pine/oak/juniper forest,34.59,-112.6,12.3,9,78,39
108,DF0020,Sierra Prieta,Arizona,Quercus turbinella,Fagaceae,Plant-angiosperm,Sierra Prieta_Plant-angiosperm,4,1.386294361,Arizona,Pine/oak/juniper forest,34.59,-112.6,12.3,9,78,39
109,DF0021,Sierra Prieta,Arizona,Quercus turbinella,Fagaceae,Plant-angiosperm,Sierra Prieta_Plant-angiosperm,4,1.386294361,Arizona,Pine/oak/juniper forest,34.59,-112.6,12.3,9,78,39
110,DF0022,Sierra Prieta,Arizona,Quercus turbinella,Fagaceae,Plant-angiosperm,Sierra Prieta_Plant-angiosperm,4,1.386294361,Arizona,Pine/oak/juniper forest,34.59,-112.6,12.3,9,78,39
111,DF0023,Sierra Prieta,Arizona,Quercus turbinella,Fagaceae,Plant-angiosperm,Sierra Prieta_Plant-angiosperm,4,1.386294361,Arizona,Pine/oak/juniper forest,34.59,-112.6,12.3,9,78,39
112,DF0024,Sierra Prieta,Arizona,Quercus turbinella,Fagaceae,Plant-angiosperm,Sierra Prieta_Plant-angiosperm,4,1.386294361,Arizona,Pine/oak/juniper forest,34.59,-112.6,12.3,9,78,39
113,DF0025,Sierra Prieta,Arizona,Quercus turbinella,Fagaceae,Plant-angiosperm,Sierra Prieta_Plant-angiosperm,4,1.386294361,Arizona,Pine/oak/juniper forest,34.59,-112.6,12.3,9,78,39
114,DF0026,Sierra Prieta,Arizona,Quercus turbinella,Fagaceae,Plant-angiosperm,Sierra Prieta_Plant-angiosperm,4,1.386294361,Arizona,Pine/oak/juniper forest,34.59,-112.6,12.3,9,78,39
115,DF0027,Sierra Prieta,Arizona,Quercus turbinella,Fagaceae,Plant-angiosperm,Sierra Prieta_Plant-angiosperm,4,1.386294361,Arizona,Pine/oak/juniper forest,34.59,-112.6,12.3,9,78,39
116,DF0028,Sierra Prieta,Arizona,Quercus turbinella,Fagaceae,Plant-angiosperm,Sierra Prieta_Plant-angiosperm,4,1.386294361,Arizona,Pine/oak/juniper forest,34.59,-112.6,12.3,9,78,39
117,DF0029,Sierra Prieta,Arizona,Quercus turbinella,Fagaceae,Plant-angiosperm,Sierra Prieta_Plant-angiosperm,4,1.386294361,Arizona,Pine/oak/juniper forest,34.59,-112.6,12.3,9,78,39
118,DF0030,Sierra Prieta,Arizona,Quercus turbinella,Fagaceae,Plant-angiosperm,Sierra Prieta_Plant-angiosperm,4,1.386294361,Arizona,Pine/oak/juniper forest,34.59,-112.6,12.3,9,78,39
119,DF0031,Sierra Prieta,Arizona,Quercus turbinella,Fagaceae,Plant-angiosperm,Sierra Prieta_Plant-angiosperm,4,1.386294361,Arizona,Pine/oak/juniper forest,34.59,-112.6,12.3,9,78,39
120,DF0032,Sierra Prieta,Arizona,Quercus turbinella,Fagaceae,Plant-angiosperm,Sierra Prieta_Plant-angiosperm,4,1.386294361,Arizona,Pine/oak/juniper forest,34.59,-112.6,12.3,9,78,39
121,DF0033,Sierra Prieta,Arizona,Quercus turbinella,Fagaceae,Plant-angiosperm,Sierra Prieta_Plant-angiosperm,4,1.386294361,Arizona,Pine/oak/juniper forest,34.59,-112.6,12.3,9,78,39
122,DF0034,Sierra Prieta,Arizona,Quercus turbinella,Fagaceae,Plant-angiosperm,Sierra Prieta_Plant-angiosperm,4,1.386294361,Arizona,Pine/oak/juniper forest,34.59,-112.6,12.3,9,78,39
123,DF0035,Sierra Prieta,Arizona,Quercus turbinella,Fagaceae,Plant-angiosperm,Sierra Prieta_Plant-angiosperm,4,1.386294361,Arizona,Pine/oak/juniper forest,34.59,-112.6,12.3,9,78,39
